18:47:36.909 [main] INFO  testCases.TC1_CourseraSearchWebDev - ------Collectiong the title,rating,duration of First Course--------
18:47:43.298 [main] INFO  testCases.TC1_CourseraSearchWebDev - ------Data collected, prints on the console and written on excel file--------
18:47:43.457 [main] INFO  testCases.TC1_CourseraSearchWebDev - ------Clicking on the Second course--------
18:47:43.655 [main] INFO  testCases.TC1_CourseraSearchWebDev - ------Second course details page shown--------
18:47:43.943 [main] INFO  testCases.TC1_CourseraSearchWebDev - ------Collectiong the title,rating,duration of Second Course--------
18:47:49.539 [main] INFO  testCases.TC1_CourseraSearchWebDev - ------Data collected, prints on the console and written on excel file--------
18:48:04.030 [main] INFO  testCases.TC2_Languagelearn - ------Clcking on explore button and selecting Language learning option--------
18:48:04.847 [main] INFO  testCases.TC2_Languagelearn - ------For each Level it will count the number of courses available for different languages --------
18:49:55.936 [main] INFO  testCases.TC3_enterprises - ----- forEnterprises method runs succesful------
18:50:01.003 [main] INFO  testCases.TC3_enterprises - ------error message is shown------
19:41:51.839 [main] INFO  testCases.TC1_CourseraSearchWebDev - ------Searching for web development courses  --------
19:41:57.442 [main] INFO  testCases.TC1_CourseraSearchWebDev - ------shows the available web devolpment courses  --------
19:41:57.777 [main] INFO  testCases.TC1_CourseraSearchWebDev - ------clicking on the language(English) and Level(Beginner) checkboxes--------
19:42:02.461 [main] INFO  testCases.TC1_CourseraSearchWebDev - ------filtered courses is shown -------
19:42:02.739 [main] INFO  testCases.TC1_CourseraSearchWebDev - ------Clicking on the first course--------
19:42:04.493 [main] INFO  testCases.TC1_CourseraSearchWebDev - ------First course details page shown--------
19:42:05.434 [main] INFO  testCases.TC1_CourseraSearchWebDev - ------Collectiong the title,rating,duration of First Course--------
19:42:12.474 [main] INFO  testCases.TC1_CourseraSearchWebDev - ------Data collected, prints on the console and written on excel file--------
19:42:12.659 [main] INFO  testCases.TC1_CourseraSearchWebDev - ------Clicking on the Second course--------
19:42:12.927 [main] INFO  testCases.TC1_CourseraSearchWebDev - ------Second course details page shown--------
19:42:13.342 [main] INFO  testCases.TC1_CourseraSearchWebDev - ------Collectiong the title,rating,duration of Second Course--------
19:42:19.380 [main] INFO  testCases.TC1_CourseraSearchWebDev - ------Data collected, prints on the console and written on excel file--------
19:42:31.167 [main] INFO  testCases.TC2_Languagelearn - ------Clcking on explore button and selecting Language learning option--------
19:42:36.523 [main] INFO  testCases.TC2_Languagelearn - ------ shows the language learn courses--------
19:42:36.673 [main] INFO  testCases.TC2_Languagelearn - ------For each Level it will count the number of courses available for different languages --------
19:42:45.537 [main] INFO  testCases.TC2_Languagelearn - ------data taken, prints on console and also written on excel file------
19:43:10.662 [main] INFO  testCases.TC3_enterprises - ----- forEnterprises method runs succesful------
19:43:15.650 [main] INFO  testCases.TC3_enterprises - ------error message is shown------
14:58:07.174 [main] INFO  testCases.TC1_CourseraSearchWebDev - ------Searching for web development courses  --------
14:58:13.950 [main] INFO  testCases.TC1_CourseraSearchWebDev - ------shows the available web devolpment courses  --------
14:58:14.198 [main] INFO  testCases.TC1_CourseraSearchWebDev - ------clicking on the language(English) and Level(Beginner) checkboxes--------
14:58:17.817 [main] INFO  testCases.TC1_CourseraSearchWebDev - ------filtered courses is shown -------
14:58:17.991 [main] INFO  testCases.TC1_CourseraSearchWebDev - ------Clicking on the first course--------
14:58:19.252 [main] INFO  testCases.TC1_CourseraSearchWebDev - ------First course details page shown--------
14:58:19.550 [main] INFO  testCases.TC1_CourseraSearchWebDev - ------Collectiong the title,rating,duration of First Course--------
14:58:26.739 [main] INFO  testCases.TC1_CourseraSearchWebDev - ------Data collected, prints on the console and written on excel file--------
14:58:26.939 [main] INFO  testCases.TC1_CourseraSearchWebDev - ------Clicking on the Second course--------
14:58:27.169 [main] INFO  testCases.TC1_CourseraSearchWebDev - ------Second course details page shown--------
14:58:27.516 [main] INFO  testCases.TC1_CourseraSearchWebDev - ------Collectiong the title,rating,duration of Second Course--------
14:58:33.004 [main] INFO  testCases.TC1_CourseraSearchWebDev - ------Data collected, prints on the console and written on excel file--------
14:58:42.292 [main] INFO  testCases.TC2_Languagelearn - ------Clcking on explore button and selecting Language learning option--------
